STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED
198,13890,8160,7517,643,5730,33,5697,1241,16,1225
199,13886,8140,7515,625,5746,35,5711,1245,16,1229
200,13880,8138,7515,623,5742,35,5707,1251,16,1235
201,13873,8132,7514,618,5741,36,5705,1258,16,1242
202,13867,8100,7514,586,5767,36,5731,1264,16,1248
203,13860,8119,7513,606,5741,37,5704,1271,16,1255
204,13855,8124,7510,614,5731,40,5691,1276,16,1260
205,13847,8132,7512,620,5715,38,5677,1284,16,1268
206,13839,8124,7511,613,5715,39,5676,1292,16,1276
207,13828,8124,7509,615,5704,41,5663,1303,16,1287
208,13819,8131,7508,623,5688,42,5646,1312,16,1296
209,13811,8108,7508,600,5703,42,5661,1320,16,1304
210,13799,8106,7507,599,5693,43,5650,1332,16,1316
211,13796,8099,7508,591,5697,42,5655,1335,16,1319
212,13788,8081,7507,574,5707,43,5664,1343,16,1327
213,13782,8077,7506,571,5705,44,5661,1349,16,1333
214,13773,8074,7504,570,5699,46,5653,1358,16,1342
215,13764,8068,7505,563,5696,45,5651,1367,16,1351
216,13757,8068,7508,560,5689,42,5647,1374,16,1358
217,13750,8083,7504,579,5667,46,5621,1381,16,1365
218,13745,8094,7504,590,5651,46,5605,1386,16,1370
219,13742,8099,7502,597,5643,48,5595,1389,16,1373
220,13733,8098,7503,595,5635,47,5588,1398,16,1382
221,13724,8130,7503,627,5594,47,5547,1407,16,1391
222,13715,8115,7503,612,5600,47,5553,1416,16,1400
223,13711,8095,7505,590,5616,45,5571,1420,16,1404
224,13703,8086,7505,581,5617,44,5573,1428,17,1411
225,13697,8082,7506,576,5615,43,5572,1434,17,1417
226,13692,8095,7508,587,5597,41,5556,1439,17,1422
227,13687,8102,7512,590,5585,37,5548,1444,17,1427
228,13681,8094,7511,583,5587,38,5549,1450,17,1433
229,13674,8104,7510,594,5570,39,5531,1457,17,1440
230,13664,8102,7509,593,5562,40,5522,1467,17,1450
231,13655,8101,7506,595,5554,43,5511,1476,17,1459
232,13650,8084,7505,579,5566,44,5522,1481,17,1464
233,13639,8084,7499,585,5555,49,5506,1492,18,1474
234,13633,8068,7501,567,5565,47,5518,1498,18,1480
235,13628,8077,7504,573,5551,44,5507,1503,18,1485
236,13623,8081,7502,579,5542,46,5496,1508,18,1490
237,13620,8101,7501,600,5519,47,5472,1511,18,1493
238,13614,8128,7497,631,5486,50,5436,1517,19,1498
239,13604,8103,7495,608,5501,52,5449,1527,19,1508
240,13595,8094,7498,596,5501,49,5452,1536,19,1517
241,13591,8104,7500,604,5487,47,5440,1540,19,1521
242,13587,8100,7503,597,5487,44,5443,1544,19,1525
243,13577,8066,7503,563,5511,44,5467,1554,19,1535
244,13570,8074,7499,575,5496,48,5448,1561,19,1542
245,13563,8071,7497,574,5492,50,5442,1568,19,1549
246,13555,8075,7497,578,5480,49,5431,1576,20,1556
247,13549,8066,7496,570,5483,50,5433,1582,20,1562
248,13541,8084,7498,586,5457,48,5409,1590,20,1570
249,13536,8090,7497,593,5446,49,5397,1595,20,1575
250,13530,8085,7495,590,5445,51,5394,1601,20,1581
251,13523,8096,7491,605,5427,54,5373,1608,21,1587
252,13518,8101,7494,607,5417,51,5366,1613,21,1592
253,13515,8093,7494,599,5422,51,5371,1616,21,1595
254,13510,8081,7493,588,5429,52,5377,1621,21,1600
255,13504,8086,7490,596,5418,55,5363,1627,21,1606
256,13500,8056,7491,565,5444,54,5390,1631,21,1610
257,13491,8068,7491,577,5423,53,5370,1640,22,1618
258,13486,8092,7494,598,5394,50,5344,1645,22,1623
259,13480,8084,7496,588,5396,48,5348,1651,22,1629
260,13475,8087,7500,587,5388,44,5344,1656,22,1634
261,13470,8094,7498,596,5376,46,5330,1661,22,1639
262,13464,8075,7498,577,5389,46,5343,1667,22,1645
263,13462,8085,7498,587,5377,46,5331,1669,22,1647
264,13459,8094,7498,596,5365,46,5319,1672,22,1650
265,13452,8087,7497,590,5365,46,5319,1679,23,1656
266,13446,8077,7497,580,5369,46,5323,1685,23,1662
267,13441,8107,7500,607,5334,43,5291,1690,23,1667
268,13437,8097,7500,597,5340,43,5297,1694,23,1671
269,13435,8065,7499,566,5370,44,5326,1696,23,1673
270,13432,8079,7499,580,5353,44,5309,1699,23,1676
271,13423,8088,7499,589,5335,44,5291,1708,23,1685
272,13417,8069,7500,569,5348,43,5305,1714,23,1691
273,13414,8084,7499,585,5330,44,5286,1717,23,1694
274,13409,8089,7499,590,5320,44,5276,1722,23,1699
275,13404,8097,7498,599,5307,45,5262,1727,23,1704
276,13399,8097,7497,600,5302,46,5256,1732,23,1709
277,13392,8105,7496,609,5287,47,5240,1739,23,1716
278,13385,8100,7498,602,5285,44,5241,1746,24,1722
279,13375,8105,7499,606,5270,43,5227,1756,24,1732
280,13372,8095,7496,599,5277,46,5231,1759,24,1735
281,13369,8081,7496,585,5288,46,5242,1762,24,1738
282,13367,8056,7496,560,5311,46,5265,1764,24,1740
283,13364,8070,7493,577,5294,49,5245,1767,24,1743
284,13355,8075,7497,578,5280,45,5235,1776,24,1752
285,13349,8090,7498,592,5259,44,5215,1782,24,1758
286,13346,8096,7497,599,5250,45,5205,1785,24,1761
287,13335,8082,7493,589,5253,49,5204,1796,24,1772
288,13334,8087,7493,594,5247,49,5198,1797,24,1773
