STEP,POPULATION,HEALTHY,SOCIAL D HEALTHY,NOT SOCIAL D HEALTHY,INFECTED,SOCIAL D INFECTED,NOT SOCIAL D INFECTED,DEATHS FROM INFECTION,DEATHS SOCIAL D,DEATHS NOT SOCIAL D
190,13960,8060,7530,530,5900,41,5859,1073,7,1066
191,13955,8064,7531,533,5891,40,5851,1078,7,1071
192,13950,8060,7532,528,5890,39,5851,1083,7,1076
193,13938,8090,7529,561,5848,41,5807,1095,8,1087
194,13936,8061,7529,532,5875,41,5834,1097,8,1089
195,13930,8061,7532,529,5869,38,5831,1103,8,1095
196,13924,8060,7533,527,5864,37,5827,1109,8,1101
197,13917,8085,7532,553,5832,38,5794,1116,8,1108
198,13909,8094,7534,560,5815,36,5779,1124,8,1116
199,13899,8071,7534,537,5828,36,5792,1134,8,1126
200,13892,8078,7531,547,5814,39,5775,1141,8,1133
